,holiday,temp_K,temp_oC,temp_oF,rain_mm,snow_mm,cloud_cover_%,weather_main,weather_description,date_time,traffic_volume
36,N/A,283.47,10.32,50.58,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369
37,N/A,283.17,10.02,50.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312
38,N/A,282.04,8.89,48.0,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367
39,N/A,281.69,8.54,47.37,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835
40,N/A,281.32,8.17,46.71,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726
41,N/A,280.74,7.59,45.66,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689
42,N/A,280.57,7.42,45.36,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990
43,N/A,281.86,8.71,47.68,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985
44,N/A,284.98,11.83,53.29,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309
45,N/A,289.18,16.03,60.85,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603
46,N/A,291.55,18.4,65.12,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884
47,N/A,294.97,21.82,71.28,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104
48,N/A,296.38,23.23,73.81,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178
49,N/A,297.32,24.17,75.51,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501
50,N/A,298.17,25.02,77.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713
51,N/A,298.06,24.91,76.84,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292
52,N/A,297.67,24.52,76.14,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057
53,N/A,296.36,23.21,73.78,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907
54,N/A,293.85,20.7,69.26,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503
55,N/A,292.43,19.28,66.7,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037
56,N/A,291.77,18.62,65.52,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822
57,N/A,291.36,18.21,64.78,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992
58,N/A,291.12,17.97,64.35,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166
59,N/A,290.63,17.48,63.46,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627
60,N/A,290.46,17.31,63.16,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388
61,N/A,289.26,16.11,61.0,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368
62,N/A,283.21,10.06,50.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489
63,N/A,282.24,9.09,48.36,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537
64,N/A,281.69,8.54,47.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628
65,N/A,280.57,7.42,45.36,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534
66,N/A,280.02,6.87,44.37,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403
67,N/A,280.11,6.96,44.53,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770
68,N/A,280.0,6.85,44.33,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217
69,N/A,280.53,7.38,45.28,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870
70,N/A,281.43,8.28,46.9,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967
71,N/A,281.78,8.63,47.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108
72,N/A,281.91,8.76,47.77,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128
73,N/A,281.73,8.58,47.44,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069
74,N/A,281.42,8.27,46.89,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,6169
75,N/A,280.87,7.72,45.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384
76,N/A,280.15,7.0,44.6,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,4063
77,N/A,279.78,6.63,43.93,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,3364
78,N/A,279.65,6.5,43.7,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,2971
79,N/A,279.22,6.07,42.93,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,2450
80,N/A,279.06,5.91,42.64,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832
81,N/A,278.81,5.66,42.19,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,1231
82,N/A,278.55,5.4,41.72,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 01:00:00,718
83,N/A,278.59,5.44,41.79,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 02:00:00,545
84,N/A,276.99,3.84,38.91,0.0,0.0,75,Clouds,broken clouds,2012-10-06 04:00:00,411
85,N/A,276.35,3.2,37.76,0.0,0.0,20,Clouds,few clouds,2012-10-06 05:00:00,688
86,N/A,275.4,2.25,36.05,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352
87,N/A,275.17,2.02,35.64,0.0,0.0,1,Clear,sky is clear,2012-10-06 07:00:00,2072
88,N/A,274.99,1.84,35.31,0.0,0.0,1,Clear,sky is clear,2012-10-06 08:00:00,3342
89,N/A,275.09,1.94,35.49,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 09:00:00,4258
90,N/A,276.88,3.73,38.71,0.0,0.0,20,Clouds,few clouds,2012-10-06 10:00:00,4861
91,N/A,278.04,4.89,40.8,0.0,0.0,20,Clouds,few clouds,2012-10-06 11:00:00,5191
92,N/A,279.08,5.93,42.67,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 12:00:00,5669
93,N/A,280.12,6.97,44.55,0.0,0.0,75,Clouds,broken clouds,2012-10-06 13:00:00,5074
94,N/A,280.25,7.1,44.78,0.0,0.0,75,Clouds,broken clouds,2012-10-06 14:00:00,5025
95,N/A,280.0,6.85,44.33,0.0,0.0,75,Clouds,broken clouds,2012-10-06 15:00:00,5153
96,N/A,279.06,5.91,42.64,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 16:00:00,5024
97,N/A,278.91,5.76,42.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 17:00:00,4779
98,N/A,278.39,5.24,41.43,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 18:00:00,4362
99,N/A,278.16,5.01,41.02,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 19:00:00,3860
100,N/A,278.16,5.01,41.02,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 20:00:00,3160
101,N/A,277.93,4.78,40.6,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 21:00:00,2992
102,N/A,276.9,3.75,38.75,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 22:00:00,3202
103,N/A,276.34,3.19,37.74,0.0,0.0,75,Clouds,broken clouds,2012-10-06 23:00:00,1941
104,N/A,276.11,2.96,37.33,0.0,0.0,75,Clouds,broken clouds,2012-10-07 00:00:00,1233
105,N/A,275.73,2.58,36.64,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 03:00:00,323
106,N/A,275.65,2.5,36.5,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 04:00:00,312
107,N/A,275.51,2.36,36.25,0.0,0.0,75,Clouds,broken clouds,2012-10-07 05:00:00,627
108,N/A,275.05,1.9,35.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 06:00:00,1508
109,N/A,274.77,1.62,34.92,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 07:00:00,1539
110,N/A,274.77,1.62,34.92,0.0,0.0,75,Clouds,broken clouds,2012-10-07 08:00:00,2232
111,N/A,275.55,2.4,36.32,0.0,0.0,75,Clouds,broken clouds,2012-10-07 09:00:00,4568
112,N/A,276.24,3.09,37.56,0.0,0.0,75,Clouds,broken clouds,2012-10-07 10:00:00,4624
113,N/A,277.01,3.86,38.95,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 11:00:00,4529
114,N/A,277.43,4.28,39.7,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 12:00:00,5139
115,N/A,278.45,5.3,41.54,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 13:00:00,6640
116,N/A,279.27,6.12,43.02,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 14:00:00,6589
117,N/A,279.27,6.12,43.02,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 15:00:00,4429
118,N/A,279.44,6.29,43.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 16:00:00,4329
119,N/A,279.32,6.17,43.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 17:00:00,3833
120,N/A,279.27,6.12,43.02,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 18:00:00,4015
121,N/A,278.11,4.96,40.93,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 19:00:00,3382
122,N/A,276.79,3.64,38.55,0.0,0.0,75,Clouds,broken clouds,2012-10-07 20:00:00,2815
123,N/A,275.73,2.58,36.64,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 21:00:00,2110
124,N/A,274.88,1.73,35.11,0.0,0.0,75,Clouds,broken clouds,2012-10-07 22:00:00,1555
125,N/A,273.92,0.77,33.39,0.0,0.0,20,Clouds,few clouds,2012-10-07 23:00:00,959
126,Columbus Day,273.08,-0.07,31.87,0.0,0.0,20,Clouds,few clouds,2012-10-08 00:00:00,455
127,Columbus Day,272.62,-0.53,31.05,0.0,0.0,20,Clouds,few clouds,2012-10-08 01:00:00,336
128,Columbus Day,271.78,-1.37,29.53,0.0,0.0,1,Clear,sky is clear,2012-10-08 02:00:00,265
129,Columbus Day,271.05,-2.1,28.22,0.0,0.0,1,Clear,sky is clear,2012-10-08 03:00:00,314
130,Columbus Day,270.63,-2.52,27.46,0.0,0.0,1,Clear,sky is clear,2012-10-08 04:00:00,779
131,Columbus Day,270.33,-2.82,26.92,0.0,0.0,1,Clear,sky is clear,2012-10-08 05:00:00,2571
132,Columbus Day,269.61,-3.54,25.63,0.0,0.0,20,Clouds,few clouds,2012-10-08 06:00:00,5563
133,Columbus Day,270.01,-3.14,26.35,0.0,0.0,20,Clouds,few clouds,2012-10-08 07:00:00,6676
134,Columbus Day,271.23,-1.92,28.54,0.0,0.0,20,Clouds,few clouds,2012-10-08 08:00:00,5966
135,Columbus Day,273.71,0.56,33.01,0.0,0.0,20,Clouds,few clouds,2012-10-08 09:00:00,4832
136,Columbus Day,276.77,3.62,38.52,0.0,0.0,20,Clouds,few clouds,2012-10-08 10:00:00,4395
137,Columbus Day,279.47,6.32,43.38,0.0,0.0,20,Clouds,few clouds,2012-10-08 11:00:00,4411
138,Columbus Day,279.84,6.69,44.04,0.0,0.0,1,Clear,sky is clear,2012-10-08 12:00:00,4648
139,Columbus Day,282.34,9.19,48.54,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 13:00:00,4602
140,Columbus Day,282.94,9.79,49.62,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 14:00:00,5125
141,Columbus Day,283.48,10.33,50.59,0.0,0.0,1,Clear,sky is clear,2012-10-08 15:00:00,5502
142,Columbus Day,284.33,11.18,52.12,0.0,0.0,1,Clear,sky is clear,2012-10-08 16:00:00,5979
143,Columbus Day,284.48,11.33,52.39,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 17:00:00,5663
144,Columbus Day,284.23,11.08,51.94,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 18:00:00,4259
145,Columbus Day,281.99,8.84,47.91,0.0,0.0,20,Clouds,few clouds,2012-10-08 19:00:00,3069
146,Columbus Day,279.81,6.66,43.99,0.0,0.0,1,Clear,sky is clear,2012-10-08 20:00:00,2378
147,Columbus Day,279.35,6.2,43.16,0.0,0.0,1,Clear,sky is clear,2012-10-08 21:00:00,2030
148,Columbus Day,278.9,5.75,42.35,0.0,0.0,1,Clear,sky is clear,2012-10-08 22:00:00,1400
149,Columbus Day,278.46,5.31,41.56,0.0,0.0,1,Clear,sky is clear,2012-10-08 23:00:00,917
150,N/A,277.78,4.63,40.33,0.0,0.0,1,Clear,sky is clear,2012-10-09 00:00:00,515
151,N/A,277.27,4.12,39.42,0.0,0.0,1,Clear,sky is clear,2012-10-09 01:00:00,302
152,N/A,277.47,4.32,39.78,0.0,0.0,1,Clear,sky is clear,2012-10-09 02:00:00,251
153,N/A,276.97,3.82,38.88,0.0,0.0,20,Clouds,few clouds,2012-10-09 04:00:00,798
154,N/A,276.52,3.37,38.07,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 05:00:00,2678
155,N/A,276.6,3.45,38.21,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 06:00:00,5733
156,N/A,277.31,4.16,39.49,0.0,0.0,75,Clouds,broken clouds,2012-10-09 07:00:00,6449
157,N/A,278.38,5.23,41.41,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 08:00:00,5765
158,N/A,279.35,6.2,43.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 09:00:00,5599
159,N/A,281.37,8.22,46.8,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 10:00:00,4534
160,N/A,283.11,9.96,49.93,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 11:00:00,4691
161,N/A,284.08,10.93,51.67,0.0,0.0,75,Clouds,broken clouds,2012-10-09 12:00:00,5067
162,N/A,285.14,11.99,53.58,0.0,0.0,75,Clouds,broken clouds,2012-10-09 13:00:00,5030
163,N/A,286.35,13.2,55.76,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 14:00:00,5300
164,N/A,287.23,14.08,57.34,0.0,0.0,100,Rain,light rain,2012-10-09 15:00:00,5777
165,N/A,288.53,15.38,59.68,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 16:00:00,6349
166,N/A,290.37,17.22,63.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 17:00:00,6127
167,N/A,290.13,16.98,62.56,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 18:00:00,4460
168,N/A,288.86,15.71,60.28,0.0,0.0,75,Clouds,broken clouds,2012-10-09 19:00:00,3418
169,N/A,287.36,14.21,57.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 20:00:00,2775
170,N/A,285.11,11.96,53.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 21:00:00,2306
171,N/A,283.46,10.31,50.56,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 22:00:00,1846
172,N/A,282.45,9.3,48.74,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 23:00:00,947
173,N/A,281.88,8.73,47.71,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 00:00:00,494
174,N/A,281.78,8.63,47.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 01:00:00,332
175,N/A,281.09,7.94,46.29,0.0,0.0,75,Clouds,broken clouds,2012-10-10 02:00:00,261
176,N/A,281.17,8.02,46.44,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 03:00:00,361
177,N/A,281.25,8.1,46.58,0.0,0.0,92,Clear,sky is clear,2012-10-10 06:00:00,5875
178,N/A,281.25,8.1,46.58,0.0,0.0,99,Rain,light rain,2012-10-10 07:00:00,6793
179,N/A,280.1,6.95,44.51,0.0,0.0,99,Rain,light rain,2012-10-10 08:00:00,6283
180,N/A,279.61,6.46,43.63,0.0,0.0,99,Rain,light rain,2012-10-10 09:00:00,5680
181,N/A,279.67,6.52,43.74,0.0,0.0,99,Clear,sky is clear,2012-10-10 10:00:00,4632
182,N/A,280.19,7.04,44.67,0.0,0.0,1,Clear,sky is clear,2012-10-10 11:00:00,4887
183,N/A,282.09,8.94,48.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 12:00:00,5030
184,N/A,282.26,9.11,48.4,0.0,0.0,75,Clouds,broken clouds,2012-10-10 13:00:00,5067
185,N/A,282.05,8.9,48.02,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 14:00:00,5227
186,N/A,281.59,8.44,47.19,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 15:00:00,5610
187,N/A,281.23,8.08,46.54,0.0,0.0,81,Clear,sky is clear,2012-10-10 16:00:00,6286
188,N/A,282.6,9.45,49.01,0.0,0.0,81,Clear,sky is clear,2012-10-10 18:00:00,4775
189,N/A,282.6,9.45,49.01,0.0,0.0,81,Clear,sky is clear,2012-10-10 19:00:00,3340
190,N/A,282.6,9.45,49.01,0.0,0.0,81,Clear,sky is clear,2012-10-10 20:00:00,3013
191,N/A,282.6,9.45,49.01,0.0,0.0,81,Clear,sky is clear,2012-10-10 21:00:00,2603
192,N/A,282.6,9.45,49.01,0.0,0.0,81,Clear,sky is clear,2012-10-10 22:00:00,1910
193,N/A,282.6,9.45,49.01,0.0,0.0,81,Clear,sky is clear,2012-10-10 23:00:00,1037
194,N/A,273.9,0.75,33.35,0.0,0.0,1,Clear,sky is clear,2012-10-11 01:00:00,347
195,N/A,274.4,1.25,34.25,0.0,0.0,75,Clouds,broken clouds,2012-10-11 03:00:00,350
196,N/A,274.05,0.9,33.62,0.0,0.0,75,Clouds,broken clouds,2012-10-11 04:00:00,850
197,N/A,273.71,0.56,33.01,0.0,0.0,40,Clouds,scattered clouds,2012-10-11 05:00:00,2791
198,N/A,272.66,-0.49,31.12,0.0,0.0,1,Clear,sky is clear,2012-10-11 06:00:00,5809
199,N/A,272.65,-0.5,31.1,0.0,0.0,1,Clear,sky is clear,2012-10-11 07:00:00,6798
200,N/A,272.52,-0.63,30.87,0.0,0.0,1,Clear,sky is clear,2012-10-11 08:00:00,6304
201,N/A,275.19,2.04,35.67,0.0,0.0,20,Clouds,few clouds,2012-10-11 09:00:00,5291
202,N/A,275.34,2.19,35.94,0.0,0.0,1,Clear,sky is clear,2012-10-11 10:00:00,4638
203,N/A,284.1,10.95,51.71,0.0,0.0,50,Clear,sky is clear,2012-10-11 14:00:00,5557
204,N/A,284.1,10.95,51.71,0.0,0.0,50,Clear,sky is clear,2012-10-11 15:00:00,5818
205,N/A,283.78,10.63,51.13,0.0,0.0,75,Clouds,broken clouds,2012-10-11 16:00:00,6272
206,N/A,283.52,10.37,50.67,0.0,0.0,75,Clouds,broken clouds,2012-10-11 17:00:00,5944
207,N/A,283.32,10.17,50.31,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 18:00:00,4949
208,N/A,282.06,8.91,48.04,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 19:00:00,3511
209,N/A,281.95,8.8,47.84,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 20:00:00,3039
210,N/A,281.81,8.66,47.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 21:00:00,2679
211,N/A,282.16,9.01,48.22,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 22:00:00,2094
212,N/A,282.53,9.38,48.88,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 23:00:00,1284
213,N/A,283.91,10.76,51.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 00:00:00,630
214,N/A,284.64,11.49,52.68,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 01:00:00,410
215,N/A,284.61,11.46,52.63,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 02:00:00,331
216,N/A,283.18,10.03,50.05,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 03:00:00,372
217,N/A,282.26,9.11,48.4,0.0,0.0,72,Rain,light rain,2012-10-12 04:00:00,739
218,N/A,280.77,7.62,45.72,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 05:00:00,2561
219,N/A,278.53,5.38,41.68,0.0,0.0,75,Clouds,broken clouds,2012-10-12 06:00:00,5586
220,N/A,277.64,4.49,40.08,0.0,0.0,75,Clouds,broken clouds,2012-10-12 07:00:00,6992
221,N/A,277.9,4.75,40.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 08:00:00,5860
222,N/A,278.18,5.03,41.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 09:00:00,5230
223,N/A,279.29,6.14,43.05,0.0,0.0,75,Clouds,broken clouds,2012-10-12 10:00:00,4864
224,N/A,280.45,7.3,45.14,0.0,0.0,75,Clouds,broken clouds,2012-10-12 11:00:00,5146
225,N/A,280.95,7.8,46.04,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 12:00:00,5526
226,N/A,281.74,8.59,47.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 13:00:00,5383
227,N/A,281.84,8.69,47.64,0.0,0.0,75,Clouds,broken clouds,2012-10-12 14:00:00,5758
228,N/A,282.45,9.3,48.74,0.0,0.0,75,Clouds,broken clouds,2012-10-12 15:00:00,5889
229,N/A,282.2,9.05,48.29,0.0,0.0,75,Clouds,broken clouds,2012-10-12 16:00:00,6057
230,N/A,281.54,8.39,47.1,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 17:00:00,6028
231,N/A,280.21,7.06,44.71,0.0,0.0,20,Clouds,few clouds,2012-10-12 18:00:00,5257
232,N/A,282.2,9.05,48.29,0.0,0.0,56,Clear,sky is clear,2012-10-12 23:00:00,1897
233,N/A,272.58,-0.57,30.97,0.0,0.0,1,Clear,sky is clear,2012-10-13 00:00:00,1335
234,N/A,272.06,-1.09,30.04,0.0,0.0,1,Clear,sky is clear,2012-10-13 01:00:00,769
235,N/A,270.99,-2.16,28.11,0.0,0.0,1,Clear,sky is clear,2012-10-13 02:00:00,570
236,N/A,270.29,-2.86,26.85,0.0,0.0,20,Clouds,few clouds,2012-10-13 03:00:00,413
237,N/A,269.48,-3.67,25.39,0.0,0.0,1,Clear,sky is clear,2012-10-13 04:00:00,399
238,N/A,269.27,-3.88,25.02,0.0,0.0,1,Clear,sky is clear,2012-10-13 05:00:00,740
239,N/A,268.91,-4.24,24.37,0.0,0.0,1,Clear,sky is clear,2012-10-13 06:00:00,1420
240,N/A,268.98,-4.17,24.49,0.0,0.0,75,Clouds,broken clouds,2012-10-13 07:00:00,2220
241,N/A,269.23,-3.92,24.94,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 08:00:00,3479
242,N/A,272.61,-0.54,31.03,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 09:00:00,4546
243,N/A,276.78,3.63,38.53,0.0,0.0,20,Clouds,few clouds,2012-10-13 10:00:00,4579
244,N/A,279.22,6.07,42.93,0.0,0.0,1,Clear,sky is clear,2012-10-13 11:00:00,4438
245,N/A,280.35,7.2,44.96,0.0,0.0,1,Clear,sky is clear,2012-10-13 12:00:00,4623
246,N/A,281.81,8.66,47.59,0.0,0.0,1,Clear,sky is clear,2012-10-13 13:00:00,4440
247,N/A,283.05,9.9,49.82,0.0,0.0,1,Clear,sky is clear,2012-10-13 14:00:00,4495
248,N/A,283.96,10.81,51.46,0.0,0.0,1,Clear,sky is clear,2012-10-13 15:00:00,4483
249,N/A,284.53,11.38,52.48,0.0,0.0,1,Clear,sky is clear,2012-10-13 16:00:00,4591
250,N/A,284.44,11.29,52.32,0.0,0.0,1,Clear,sky is clear,2012-10-13 17:00:00,4477
251,N/A,283.64,10.49,50.88,0.0,0.0,1,Clear,sky is clear,2012-10-13 18:00:00,4221
